Model_Number,Filters,Kernel_Size,Embedding_Dims,Hidden_Dims,Train_Loss,Train_Acc,Valid_Loss,Valid_Acc
0,128,5,128,128,0.02354962531456902,0.9908543028740041,0.055845276480294054,0.9815394852334348
1,128,5,64,128,0.02196915755310451,0.9913595674360217,0.06361424918600932,0.981252263021118
2,128,5,32,128,0.03474822914872304,0.986479265263873,0.05463901608948907,0.9801608254762721
3,128,4,128,128,0.02327145911573882,0.9908947778792506,0.057237753930387686,0.9807613803846194
4,128,4,64,128,0.022709545013626403,0.991245980649587,0.06117199835089256,0.9805159312644461
5,128,4,32,128,0.035007019123782596,0.9863656800051878,0.05227529024271948,0.9810747098104718
6,128,3,128,128,0.024717525621466285,0.9903333720396192,0.05548148864015561,0.981095596951376
7,128,3,64,128,0.02353729077170048,0.990714603896696,0.05949402682071156,0.9808919359855885
8,128,3,32,128,0.031754193958129666,0.9875537687027194,0.056013226301089625,0.9798318234652388
9,128,2,128,128,0.026598573564930266,0.9894037910135884,0.054190823039150564,0.9811008219526196
10,128,2,64,128,0.026589293034518804,0.9894573183976193,0.05558770708663886,0.9804584904316916
11,128,2,32,128,0.03164996825085757,0.9874662931957378,0.05859451883548519,0.9787508285028815
12,64,5,128,128,0.025157703888078618,0.9900448376010174,0.05437672599699549,0.9818632631303374
13,64,5,64,128,0.030337539999979537,0.9881974242792442,0.05291230248775524,0.9811373702919112
14,64,5,32,128,0.031795775090476326,0.9876347145371145,0.05720461990072046,0.9792626010742229
15,64,4,128,128,0.026753928259266285,0.989662297773669,0.054421450909488016,0.9807248216894527
16,64,4,64,128,0.03287397531719333,0.9873383456269489,0.05334374971189376,0.980709154113191
17,64,4,32,128,0.034953010994505596,0.9864688193901907,0.05275727739630869,0.9808762655462868
18,64,3,128,128,0.03498414956103734,0.9865171292069159,0.050341402122392825,0.9809650431078242
19,64,3,64,128,0.033888449567077886,0.9868761657839275,0.050960027534218764,0.9813932618339589
20,64,3,32,128,0.03206221097675811,0.987312234986237,0.05527585005589307,0.9804741608784637
